Date Text,Text Text,location,oblast,date,time,timezone,Year,Month,Day,Season,AM_PM
07.07.2023 16:21:41 UTC+03:00,"Українська артилерія обстрілює російські позиції на глибині ~30км від лінії фронту в населеному пункті Зеленопіль, Запорізька область.Location: Zelenopil, Zaporizhzhia Oblast, Ukraine0:01-0:09 -47.551292, 36.837309Source:https://twitter.com/Gulli_ver_sn/status/1677238723505790977",zelenopil - zaporizhzhia oblast - ukraine:-: -.,zaporizhzhia,2023-07-07,13:21:41,2023-07-07 16:21:41,2023,7,7,Summer,PM
08.07.2023 12:15:54 UTC+03:00,"77-ма окрема аеромобільна бригада робить скид на російську БМД в населеному пункті Ягідне, Донецька область.Location: Yahidne, Donetsk Oblast, Ukraine48.623630, 37.971590Source:https://t.me/oaembr77/68",yahidne - donetsk oblast - ukraine.,donetsk,2023-07-08,09:15:54,2023-07-08 12:15:54,2023,7,8,Summer,AM
08.07.2023 13:54:20 UTC+03:00,"108-й окремий гірсько-штурмовий батальйон ФПВ дронами атакує російські позиції на південний захід від населеного пункту Спірне та в населеному пункті Берестове, Донецька область.Location:SW of Spirne, Donetsk Oblast, Ukraine0:23-1:21 -48.787121, 38.227556Berestove, Donetsk Oblast, Ukraine1:22-1:46 -48.753443, 38.245909Berestove, Donetsk Oblast, Ukraine1:48-2:05 -48.755581, 38.250642Source:https://t.me/OGHB_108/179",sw of spirne - donetsk oblast - ukraine:-: -.,donetsk,2023-07-08,10:54:20,2023-07-08 13:54:20,2023,7,8,Summer,AM
08.07.2023 14:24:48 UTC+03:00,"3-й загін Центра спеціального призначення НГУ «Омега» обстрілює російські позиції з СПГ-9 в населеному пункті Райгородка, Луганська область.Location: Raihorodka, Luhansk Oblast, Ukraine49.369393, 37.967359Source:https://t.me/Centr_omega_NGU/445",raihorodka - luhansk oblast - ukraine.,luhansk,2023-07-08,11:24:48,2023-07-08 14:24:48,2023,7,8,Summer,AM
08.07.2023 20:25:46 UTC+03:00,"Підрозділ аеророзвідки ""АЛЬКОР"" 146-го батальйону 116-ї бригади ТрО робить скид на російські позиції на північний схід від Новомихайлівки, Донецька область.Location: NE of  Novomykhailivka, Donetsk Oblast, Ukraine47.883804, 37.537950Source:https://www.facebook.com/brygada.TrO.Poltava/videos/1028982844780614",ne of  novomykhailivka - donetsk oblast - ukraine.,donetsk,2023-07-08,17:25:46,2023-07-08 20:25:46,2023,7,8,Summer,PM
08.07.2023 23:37:41 UTC+03:00,"Трофейний ТОС-1А ""Солнцепек"" працює по російським позиціям на схід від населеного пункту Торське, Донецька область.Location: E of Torske, Donetsk Oblast, Ukraine49.022085, 38.0249261Source:t.me/NMFTE/8958",e of torske - donetsk oblast - ukraine.,donetsk,2023-07-08,20:37:41,2023-07-08 23:37:41,2023,7,8,Summer,PM
09.07.2023 13:04:20 UTC+03:00,"74-й окремий розвідувальний батальйон ФПВ дронами атакує російські Гіацинт-Б та Т-72 в населених пунктах Старомлинівка та Завітне Бажання, Донецька область.Location:1 -  Staromlynivka, Donetsk Oblast, Ukraine47.713255, 36.8330372 - Zavitne Bazhannia, Donetsk Oblast, Ukraine47.713227, 36.821213Source:https://t.me/horticka_varta/809", -  staromlynivka - donetsk oblast - ukraine.,donetsk,2023-07-09,10:04:20,2023-07-09 13:04:20,2023,7,9,Summer,AM
09.07.2023 16:36:06 UTC+03:00,"79-та окрема десантно-штурмова бригада знищує російський 2С5 ""Гіацинт-С"" на північний захід від населеного пункту Луганське, Донецька область.Location: NW of Luhanske, Donetsk Oblast, Ukraine47.898596, 37.650790Source:https://t.me/ua_dshv/1381",nw of luhanske - donetsk oblast - ukraine.,donetsk,2023-07-09,13:36:06,2023-07-09 16:36:06,2023,7,9,Summer,PM
09.07.2023 17:31:08 UTC+03:00,"Українська артилерія знищує російський Бук-М2 на схід від населеного пункту Запоріжжя, Запорізька область.Location: Zaporizhzhia, Zaporizhzhia Oblast, Ukraine47.154540, 35.760590Source:t.me/otarnavskiy/156",zaporizhzhia - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-09,14:31:08,2023-07-09 17:31:08,2023,7,9,Summer,PM
10.07.2023 10:57:36 UTC+03:00,"БПЛА ""Ланцет"" влучає в український Т-72 на північ від населеного пункту Яблунівка, Донецька область. Відео вже було опубліковане 6-го червня пропагандистом ""Руденко"", де він знову напиздів.Location: N of Yablunivka, Donetsk Oblast, Ukraine48.43308491, 37.61731586Source:https://t.me/yuzhny_front_ZOV/376",n of yablunivka - donetsk oblast - ukraine.,donetsk,2023-07-10,07:57:36,2023-07-10 10:57:36,2023,7,10,Summer,AM
10.07.2023 17:50:23 UTC+03:00,"3-й механізований батальйон 32-ї бригади знищує живу силу росіян на північ від населеного пункту Коломийчиха, Луганська область.Location: N of Kolomyichykha, Luhansk Oblast, Ukraine49.483106, 37.954704Source:https://t.me/AFUStratCom/18898",n of kolomyichykha - luhansk oblast - ukraine.,luhansk,2023-07-10,14:50:23,2023-07-10 17:50:23,2023,7,10,Summer,PM
11.07.2023 14:17:51 UTC+03:00,"225-й батальйон 127-ї бригади ТрО зупиняє штурмову групу росіян на північний схід від населеного пункту Оріхово-Василівка, Донецька область.Location: NE of Orikhovo-Vasylivka, Donetsk Oblast, Ukraine48.688496, 37.897085Source:t.me/osirskiy/185",ne of orikhovo-vasylivka - donetsk oblast - ukraine.,donetsk,2023-07-11,11:17:51,2023-07-11 14:17:51,2023,7,11,Summer,AM
11.07.2023 15:23:02 UTC+03:00,"72-га окрема механізована бригада знищує живу силу росіян на дачах поблизу Микільського, Донецька область.Location: W of Mykil's'ke, Donetsk Oblast, Ukraine47.755199, 37.275021Source:t.me/ombr72/9300",w of mykil's'ke - donetsk oblast - ukraine.,donetsk,2023-07-11,12:23:02,2023-07-11 15:23:02,2023,7,11,Summer,PM
11.07.2023 19:16:22 UTC+03:00,"Артилерійський обстріл українських позицій в населеному пункті Гірник, Донецька область.P.s. було заявлено, що українські військові перетягують снаряди в житловий будинок, але хтось в очі їбеться.Location: Hirnyk, Donetsk Oblast, Ukraine48.061575, 37.389001Source:https://t.me/rusich_army/9872",hirnyk - donetsk oblast - ukraine.,donetsk,2023-07-11,16:16:22,2023-07-11 19:16:22,2023,7,11,Summer,PM
11.07.2023 20:16:46 UTC+03:00,"Підрозділ Code 9.2 92-ї бригади скидом знищує росіянина на північний захід від населеного пункту Підкуйчанськ, Луганська область.Location: NW of Pidkuichansk, Luhansk Oblast, Ukraine49.483087, 37.978116Source:https://t.me/FilimonovGonor/114",nw of pidkuichansk - luhansk oblast - ukraine.,luhansk,2023-07-11,17:16:46,2023-07-11 20:16:46,2023,7,11,Summer,PM
11.07.2023 22:22:12 UTC+03:00,"Українська артилерія знищує техніку росіян на південь від населеного пункту Луганське, Донецька область.Location: S of Luhanske, Donetsk Oblast, Ukraine47.860416, 37.672658Source:https://t.me/otarnavskiy/158",s of luhanske - donetsk oblast - ukraine.,donetsk,2023-07-11,19:22:12,2023-07-11 22:22:12,2023,7,11,Summer,PM
11.07.2023 23:14:49 UTC+03:00,"БПЛА ""Ланцет"" знищує українську БМП-2 на північний захід від населеного пункту Нововодяне, Луганська область. Дата публікації 06.07.2023Пропагандист Коц сьогодні опублікував цю ж подію.Location: NW of Novovodiane, Luhansk Oblast, Ukraine49.295461, 37.961118Source:t.me/voenacher/47876https://t.me/sashakots/40892",nw of novovodiane - luhansk oblast - ukraine.,luhansk,2023-07-11,20:14:49,2023-07-11 23:14:49,2023,7,11,Summer,PM
12.07.2023 11:14:08 UTC+03:00,"Українська артилерія влучає в бронетехніку росіян на південний захід від населеного пункту Старомайорське, Донецька область.Location: SW of Staromaiorske, Donetsk Oblast, Ukraine47.741757, 36.775359Source:https://t.me/aeronavtyua/555",sw of staromaiorske - donetsk oblast - ukraine.,donetsk,2023-07-12,08:14:08,2023-07-12 11:14:08,2023,7,12,Summer,AM
12.07.2023 12:34:35 UTC+03:00,"Рота ударних дронів «Рарог» 24-ї ОМБр атакує російський Т-90 в населеному пункті Берхівка, Донецька область.Location: Berkhivka, Donetsk Oblast, Ukraine48.642590, 37.960128Source:https://t.me/Rarog_24OMBr/58",berkhivka - donetsk oblast - ukraine.,donetsk,2023-07-12,09:34:35,2023-07-12 12:34:35,2023,7,12,Summer,AM
12.07.2023 18:09:01 UTC+03:00,"Аеророзвідка 36-ї бригади виявила російський Бук-М2, який був знищений на південний схід від населеного пункту Червоноселівка, Запорізька область.Location: SE of Chervonoselivka, Zaporizhzhia Oblast, Ukraine47.483269, 36.731206Source:https://t.me/ua_marines_36brigade/572",se of chervonoselivka - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-12,15:09:01,2023-07-12 18:09:01,2023,7,12,Summer,PM
12.07.2023 19:03:54 UTC+03:00,"Міномети 60-ї бригади знищують російську вантажівку на південний схід від населеного пункту Журавлівка, Бєлгородська область.Location: SE of Zhuravlyovka, Belgorod Oblast, Russia50.297712, 36.354864Source:https://t.me/osirskiy/189",se of zhuravlyovka - belgorod oblast - russia.,belgorod,2023-07-12,16:03:54,2023-07-12 19:03:54,2023,7,12,Summer,PM
13.07.2023 17:22:12 UTC+03:00,"Спецпідрозділ ГУР МОУ ""Крила"" ФПВ дронами знищують камери спостереження в Бєлгородській області.Location: Novaya Tavolzhanka, Belgorod Oblast, Russia1:24 -50.358434, 36.824235Location: Tishanka, Belgorod Oblast, Russia1:39 -50.385753, 37.523844Source:https://t.me/mysiagin/24989",novaya tavolzhanka - belgorod oblast - russia: -.,belgorod,2023-07-13,14:22:12,2023-07-13 17:22:12,2023,7,13,Summer,PM
13.07.2023 18:13:57 UTC+03:00,"Українська артилерія знищує замаскований міномет ""ПМ 120"" в населеному пункті Берестове, Донецька область.Location: Berestove, Donetsk Oblast, Ukraine48.756129, 38.238775Source:https://t.me/ukr_sisu/32",berestove - donetsk oblast - ukraine.,donetsk,2023-07-13,15:13:57,2023-07-13 18:13:57,2023,7,13,Summer,PM
13.07.2023 23:08:50 UTC+03:00,"Підрозділ аеророзвідки ""Flying Skull"" фільмує знищення РСЗО ""Ураган"" та ""Град"" боєприпасом від Хаймарса (?) на захід від населених пунктів Покровське та Чистопілля, Запорізька область.Location: W of Pokrovske, Zaporizhzhia Oblast, Ukraine0:01-1:00 -47.314944, 35.603476W of Chystopillia, Zaporizhzhia Oblast, Ukraine1:00-2:06 -47.374441, 35.642726Source:https://t.me/flyingskull/19",w of pokrovske - zaporizhzhia oblast - ukraine:-: -.,zaporizhzhia,2023-07-13,20:08:50,2023-07-13 23:08:50,2023,7,13,Summer,PM
13.07.2023 23:48:16 UTC+03:00,"Українська артилерія пошкоджує російський 2С5 ""Гіацинт-С"" на північний схід від населеного пункту Малий Кременчик, Донецька область.Location: NE of Malyi Kermenchyk, Donetsk Oblast, Ukraine47.636526, 37.006456Source:https://t.me/otarnavskiy/161",ne of malyi kermenchyk - donetsk oblast - ukraine.,donetsk,2023-07-13,20:48:16,2023-07-13 23:48:16,2023,7,13,Summer,PM
14.07.2023 11:03:13 UTC+03:00,"БМ-21 ""Град"" 95-ї окремої десантно-штурмової бригади відпрацьовує по позиціям росіян в Кремінній, Луганська область.Location: Kreminna, Luhansk Oblast, Ukraine49.025308, 38.181017Source:https://t.me/ua_dshv/1411",kreminna - luhansk oblast - ukraine.,luhansk,2023-07-14,08:03:13,2023-07-14 11:03:13,2023,7,14,Summer,AM
14.07.2023 15:47:06 UTC+03:00,"ФПВ дрони окремої президентської бригади роблять скиди на бронетехніку росіян в Урожайному та поблизу Урожайного, Донецька область.Location: Urozhaine, Donetsk Oblast, Ukraine0:29-0:32 -47.751207, 36.821789Location: NE of Urozhaine, Donetsk Oblast, Ukraine0:26-0:29 -47.767137, 36.854744Location: NE of Urozhaine, Donetsk Oblast, Ukraine0:37-0:41 -47.768033, 36.843855Source:https://www.facebook.com/Prezydentska.Bryhada/videos/593098196342623/",urozhaine - donetsk oblast - ukraine:-: -.,donetsk,2023-07-14,12:47:06,2023-07-14 15:47:06,2023,7,14,Summer,PM
14.07.2023 17:54:31 UTC+03:00,"Українська артилерія високоточним снарядом знищує російський Тор-М2 на південний захід від населеного пункту Веселе, Запорізька область.Location: SW of Vesele, Zaporizhzhia Oblast, Ukraine47.173223, 35.725607Source:https://t.me/mysiagin/25025",sw of vesele - zaporizhzhia oblast - ukraine.,zaporizhzhia,2023-07-14,14:54:31,2023-07-14 17:54:31,2023,7,14,Summer,PM
15.07.2023 12:31:38 UTC+03:00,"РУБпАК «Ахіллес» ФПВ дроном знищують вантажівку з боєкомплектом на північний захід від населеного пункту Підкуйчанськ, Луганська область.Location: NW of Pidkuichansk, Luhansk Oblast, Ukraine49.483123,37.978096Source:https://t.me/fedorenkoys/60",nw of pidkuichansk - luhansk oblast - ukraine.,luhansk,2023-07-15,09:31:38,2023-07-15 12:31:38,2023,7,15,Summer,AM
15.07.2023 20:26:10 UTC+03:00,"БМ-21 ""Град"" 22-ї окремої механізованої бригади накриває російські позиції в Кліщіївці, Донецька область.Location: Klishchiivka, Donetsk Oblast, Ukraine48.533402, 37.959848Source:t.me/osirskiy/200",klishchiivka - donetsk oblast - ukraine.,donetsk,2023-07-15,17:26:10,2023-07-15 20:26:10,2023,7,15,Summer,PM
15.07.2023 21:45:28 UTC+03:00,"Російський підрозділ ""Чёрные гусары"" демонструє свої позиції та ""неймовірний"" апгрейд РПГ-7 в населеному пункті Райгородка, Луганська область.Location: Raihorodka, Luhansk Oblast, Ukraine49.361291, 37.973765Source:https://t.me/blackhussars/228",raihorodka - luhansk oblast - ukraine.,luhansk,2023-07-15,18:45:28,2023-07-15 21:45:28,2023,7,15,Summer,PM
16.07.2023 12:28:15 UTC+03:00,"109-й батальйон 10-ї окремої гірсько-штурмової бригади скидами пошкоджує російську БМД в населеному пункті Яковлівка, Донецька область.Location: Yakovlivka, Donetsk Oblast, Ukraine48.720104, 38.139618Source:https://t.me/OGSHB_109/329",yakovlivka - donetsk oblast - ukraine.,donetsk,2023-07-16,09:28:15,2023-07-16 12:28:15,2023,7,16,Summer,AM
16.07.2023 13:02:50 UTC+03:00,"Руснявий скид термобаричного снаряда на українські позиції в населеному пункті Копанки, Харківська область.Location: Kopanky, Kharkiv Oblast, Ukraine49.369841, 37.851407Source:https://t.me/btr80/8843",kopanky - kharkiv oblast - ukraine.,kharkiv,2023-07-16,10:02:50,2023-07-16 13:02:50,2023,7,16,Summer,AM
16.07.2023 15:23:15 UTC+03:00,"74-й орб коригує Хаймарс, який знищує дві гаубиці 2А65 ""Мста-Б"" на північний схід від населеного пункту Ялинське, Донецька область.Location: NE of Yalynske, Donetsk Oblast, Ukraine0:01-0:56 -47.664926, 36.9558000:57-1:20 -47.665635, 36.963874Source:https://t.me/horticka_varta/821",ne of yalynske - donetsk oblast - ukraine:-: -.,donetsk,2023-07-16,12:23:15,2023-07-16 15:23:15,2023,7,16,Summer,PM
16.07.2023 20:13:55 UTC+03:00,"Міноборони рф демонструє відео роботи САУ ""Мста-С"" на північний схід від населеного пункту Володимирівка, Запорізька область.Location: NE of Volodymyrivka, Vasylivka Raion, Zaporizhzhia Oblast47.399790, 35.496543Source:https://t.me/mod_russia/28389",ne of volodymyrivka - vasylivka raion - zaporizhzhia oblast.,zaporizhzhia,2023-07-16,17:13:55,2023-07-16 20:13:55,2023,7,16,Summer,PM
17.07.2023 11:21:20 UTC+03:00,"Російський танк підірвався на міні та був добитий двома ФПВ дронами на захід від населеного пункту Кривошиївка, Луганська область.Location: W of Kryvoshyivka, Luhansk Oblast, Ukraine49.498791, 37.962433Source:https://t.me/ukr_sisu/39https://t.me/ukr_sisu/36https://t.me/ukr_sisu/40",w of kryvoshyivka - luhansk oblast - ukraine.,luhansk,2023-07-17,08:21:20,2023-07-17 11:21:20,2023,7,17,Summer,AM
17.07.2023 15:54:53 UTC+03:00,"Повідомляється, що російський Су-25 впав в Ейський лиман поблизу Ейська, Краснодарський край. Пілот, нажаль, катапультувався.Location: Yeysk, Krasnodar Krai, RussiaPov:46.737842, 38.290080Source:https://t.me/yigal_levin/51221",yeysk - krasnodar krai - russiapov:.,,2023-07-17,12:54:53,2023-07-17 15:54:53,2023,7,17,Summer,PM
18.07.2023 10:15:34 UTC+03:00,"Аеророзвідка 72-ї бригади виявила російський 2С7 ""Піон"", який був знищений Хаймарсом на схід від населеного пункту Степне, Донецька область.Location: E of Stepne, Donetsk Oblast, Ukraine47.609410, 37.161977Source:https://t.me/in_factum/15970",e of stepne - donetsk oblast - ukraine.,donetsk,2023-07-18,07:15:34,2023-07-18 10:15:34,2023,7,18,Summer,AM
18.07.2023 19:41:27 UTC+03:00,"2-й механізований батальйон 67-ї бригади обстрілює російські позиції на північний захід від населеного пункту Діброва, Луганська область.Location: NW of Dibrova, Luhansk Oblast, Ukraine0:27-0:29 -49.012841, 38.057153Source:https://t.me/osirskiy/211",nw of dibrova - luhansk oblast - ukraine:-: -.,luhansk,2023-07-18,16:41:27,2023-07-18 19:41:27,2023,7,18,Summer,PM
19.07.2023 00:28:09 UTC+03:00,"Підрозділ ""Птахи Мадяра"" ФПВ дроном знищують російський 2С5 ""Гіацинт"" на північний захід від населеного пункту Степне, Донецька область.Location: NW of Stepne, Donetsk Oblast, Ukraine3:22-4:35 -47.631542, 37.101720Source:https://t.me/robert_magyar/570",nw of stepne - donetsk oblast - ukraine:-: -.,donetsk,2023-07-18,21:28:09,2023-07-19 00:28:09,2023,7,18,Summer,PM
19.07.2023 13:35:19 UTC+03:00,"101 бригада ТрО обстрілює російські позиції на КПП ""Крупец"", що на захід від населеного пункту Городище, Курська область.Location: W of Horodyshche, Kursk Oblast, Ukraine51.648476, 34.134407Source:https://t.me/AFUStratCom/19045",w of horodyshche - kursk oblast - ukraine.,kursk,2023-07-19,10:35:19,2023-07-19 13:35:19,2023,7,19,Summer,AM
