Date Text,Text Text
03.07.2023 21:15:41 UTC+03:00,"1 танкова армія рф робить скиди на українські позиції в населеному пункті Андріївка, Луганська область.Location: Andriivka, Luhansk Oblast, Ukraine49.423948, 37.909825Source:https://t.me/razved_dozor/4675"
03.07.2023 23:19:16 UTC+03:00,"Заявлено, як БПЛА ""Ланцет"" знищує гаубицю М777 на південь від населеного пункту Предтечине, Донецька область.Location: S of Predtechyne, Donetsk Oblast, Ukraine48.509790, 37.813361Source:https://t.me/antiseptic_channel/1372"
04.07.2023 16:11:25 UTC+03:00,"Спільна робота 37-ї бригади, 66 гаубичного дивізіону та спецпідрозділу ""Птахи Мадяра"" по знищенню мінометної позиції в Урожайному, Донецька область.Location: Urozhaine, Donetsk Oblast, Ukraine47.735047, 36.826122Source:https://t.me/pj_notes/83"
04.07.2023 20:53:10 UTC+03:00,"Російський ФПВ дрон атакує українську позицію на кордоні з рф поблизу населеного пункту Кудіївка, Харківська область.Location: NE of Kudiivka, Kharkiv Oblast, Ukraine50.299211, 36.291334Source:https://t.me/voenacher/47791"
04.07.2023 22:42:58 UTC+03:00,"ФПВ дрон 110-ї бригади знищує транспортний засіб росіян на території Донецького аеропорту.Location: Donetsk Airport, Donetsk Oblast, Ukraine48.076827, 37.694855Source:https://t.me/BUAR110ombr/76"
05.07.2023 13:23:42 UTC+03:00,"Державна прикордонна служба України ФПВ дроном атакувала російський комплекс РЕБ «Діабазол» в населеному пункті Зерново, Брянська область. Результат невідомий.Location: Zyornovo, Bryansk Oblast, Russia52.192875, 34.077039Source:https://t.me/DPSUkr/12221"
05.07.2023 14:53:27 UTC+03:00,"Український ФПВ дрон знищує російський танк з ""мангалом"" в населеному пункті Макарівка, Донецька область.Location: Makarivka, Donetsk Oblast, Ukraine47.773736, 36.802235Source:https://t.me/ssternenko/18001"
05.07.2023 17:12:58 UTC+03:00,"Батальйон К-2 знищує живу силу росіян в населеному пункті Золотарівка, Луганська область.Location: Zolotarivka, Luhansk Oblast, Ukraine48.868011, 38.275459Source:https://t.me/k_2_54/143"
05.07.2023 19:28:36 UTC+03:00,"Велика група росіян тікає з позиції під мінометний обстріл від 103-ї бригади ТрО на північ від Новоселівського, Луганська область.Location: N of Novoselivske, Luhansk Oblast, Ukraine49.547605, 37.940211Source:https://www.youtube.com/watch?v=y4yWhLzTHa4"
05.07.2023 21:34:06 UTC+03:00,"Заявлено про знищення УР-83 на північний схід від населеного пункту Хромове, Донецька область. Архівні кадри.Location: NE of Khromove, Donetsk Oblast, Ukraine48.619332, 37.951889Source:https://t.me/ukr_sisu/10"
06.07.2023 16:36:17 UTC+03:00,"Артилерійські обстріли українських позицій в населених пунктах Піщане, Котлярівка та Колісниківка, Харківська область.Location:Pishchane, Kupiansk Raion, Kharkiv Oblast0:01 -49.571444, 37.8370500Kotliarivka, Kharkiv Oblast0:34 -49.625590, 37.900715Kolisnykivka, Kharkiv Oblast0:53 -49.562925, 37.718172Source:https://t.me/razved_dozor/4684"
06.07.2023 21:03:48 UTC+03:00,"74-й батальйон 102-ї бригади ТрО скидами знищує російську бронетехніку в населеному пункті Новозлатопіль, Запорізька область.Location: Novozlatopil, Zaporizhzhia Oblast, Ukraine47.660598, 36.567581Source:https://www.facebook.com/102brygadaTROIvanoFrankivsk/videos/631583168697936/"
07.07.2023 14:12:08 UTC+03:00,"74-й окремий розвідувальний батальйон ФПВ дронами знищує російські системи слідкування ""ПСНР-5К"" та ""АРТИКУЛ-П"" в населеному пункті Євгенівка, Донецька область.Location: Yevhenivka, Donetsk Oblast, Ukraine1 -47.668543, 37.0747922 -47.670566, 37.086055Source:https://t.me/horticka_varta/807"
07.07.2023 16:21:41 UTC+03:00,"Українська артилерія обстрілює російські позиції на глибині ~30км від лінії фронту в населеному пункті Зеленопіль, Запорізька область.Location: Zelenopil, Zaporizhzhia Oblast, Ukraine0:01-0:09 -47.551292, 36.837309Source:https://twitter.com/Gulli_ver_sn/status/1677238723505790977"
08.07.2023 12:15:54 UTC+03:00,"77-ма окрема аеромобільна бригада робить скид на російську БМД в населеному пункті Ягідне, Донецька область.Location: Yahidne, Donetsk Oblast, Ukraine48.623630, 37.971590Source:https://t.me/oaembr77/68"
08.07.2023 13:54:20 UTC+03:00,"108-й окремий гірсько-штурмовий батальйон ФПВ дронами атакує російські позиції на південний захід від населеного пункту Спірне та в населеному пункті Берестове, Донецька область.Location:SW of Spirne, Donetsk Oblast, Ukraine0:23-1:21 -48.787121, 38.227556Berestove, Donetsk Oblast, Ukraine1:22-1:46 -48.753443, 38.245909Berestove, Donetsk Oblast, Ukraine1:48-2:05 -48.755581, 38.250642Source:https://t.me/OGHB_108/179"
08.07.2023 14:24:48 UTC+03:00,"3-й загін Центра спеціального призначення НГУ «Омега» обстрілює російські позиції з СПГ-9 в населеному пункті Райгородка, Луганська область.Location: Raihorodka, Luhansk Oblast, Ukraine49.369393, 37.967359Source:https://t.me/Centr_omega_NGU/445"
08.07.2023 20:25:46 UTC+03:00,"Підрозділ аеророзвідки ""АЛЬКОР"" 146-го батальйону 116-ї бригади ТрО робить скид на російські позиції на північний схід від Новомихайлівки, Донецька область.Location: NE of  Novomykhailivka, Donetsk Oblast, Ukraine47.883804, 37.537950Source:https://www.facebook.com/brygada.TrO.Poltava/videos/1028982844780614"
08.07.2023 23:37:41 UTC+03:00,"Трофейний ТОС-1А ""Солнцепек"" працює по російським позиціям на схід від населеного пункту Торське, Донецька область.Location: E of Torske, Donetsk Oblast, Ukraine49.022085, 38.0249261Source:t.me/NMFTE/8958"
09.07.2023 13:04:20 UTC+03:00,"74-й окремий розвідувальний батальйон ФПВ дронами атакує російські Гіацинт-Б та Т-72 в населених пунктах Старомлинівка та Завітне Бажання, Донецька область.Location:1 -  Staromlynivka, Donetsk Oblast, Ukraine47.713255, 36.8330372 - Zavitne Bazhannia, Donetsk Oblast, Ukraine47.713227, 36.821213Source:https://t.me/horticka_varta/809"
09.07.2023 16:36:06 UTC+03:00,"79-та окрема десантно-штурмова бригада знищує російський 2С5 ""Гіацинт-С"" на північний захід від населеного пункту Луганське, Донецька область.Location: NW of Luhanske, Donetsk Oblast, Ukraine47.898596, 37.650790Source:https://t.me/ua_dshv/1381"
09.07.2023 17:31:08 UTC+03:00,"Українська артилерія знищує російський Бук-М2 на схід від населеного пункту Запоріжжя, Запорізька область.Location: Zaporizhzhia, Zaporizhzhia Oblast, Ukraine47.154540, 35.760590Source:t.me/otarnavskiy/156"
10.07.2023 10:57:36 UTC+03:00,"БПЛА ""Ланцет"" влучає в український Т-72 на північ від населеного пункту Яблунівка, Донецька область. Відео вже було опубліковане 6-го червня пропагандистом ""Руденко"", де він знову напиздів.Location: N of Yablunivka, Donetsk Oblast, Ukraine48.43308491, 37.61731586Source:https://t.me/yuzhny_front_ZOV/376"
10.07.2023 17:50:23 UTC+03:00,"3-й механізований батальйон 32-ї бригади знищує живу силу росіян на північ від населеного пункту Коломийчиха, Луганська область.Location: N of Kolomyichykha, Luhansk Oblast, Ukraine49.483106, 37.954704Source:https://t.me/AFUStratCom/18898"
11.07.2023 14:17:51 UTC+03:00,"225-й батальйон 127-ї бригади ТрО зупиняє штурмову групу росіян на північний схід від населеного пункту Оріхово-Василівка, Донецька область.Location: NE of Orikhovo-Vasylivka, Donetsk Oblast, Ukraine48.688496, 37.897085Source:t.me/osirskiy/185"
11.07.2023 15:23:02 UTC+03:00,"72-га окрема механізована бригада знищує живу силу росіян на дачах поблизу Микільського, Донецька область.Location: W of Mykil's'ke, Donetsk Oblast, Ukraine47.755199, 37.275021Source:t.me/ombr72/9300"
11.07.2023 19:16:22 UTC+03:00,"Артилерійський обстріл українських позицій в населеному пункті Гірник, Донецька область.P.s. було заявлено, що українські військові перетягують снаряди в житловий будинок, але хтось в очі їбеться.Location: Hirnyk, Donetsk Oblast, Ukraine48.061575, 37.389001Source:https://t.me/rusich_army/9872"
11.07.2023 20:16:46 UTC+03:00,"Підрозділ Code 9.2 92-ї бригади скидом знищує росіянина на північний захід від населеного пункту Підкуйчанськ, Луганська область.Location: NW of Pidkuichansk, Luhansk Oblast, Ukraine49.483087, 37.978116Source:https://t.me/FilimonovGonor/114"
11.07.2023 22:22:12 UTC+03:00,"Українська артилерія знищує техніку росіян на південь від населеного пункту Луганське, Донецька область.Location: S of Luhanske, Donetsk Oblast, Ukraine47.860416, 37.672658Source:https://t.me/otarnavskiy/158"
11.07.2023 23:14:49 UTC+03:00,"БПЛА ""Ланцет"" знищує українську БМП-2 на північний захід від населеного пункту Нововодяне, Луганська область. Дата публікації 06.07.2023Пропагандист Коц сьогодні опублікував цю ж подію.Location: NW of Novovodiane, Luhansk Oblast, Ukraine49.295461, 37.961118Source:t.me/voenacher/47876https://t.me/sashakots/40892"
12.07.2023 11:14:08 UTC+03:00,"Українська артилерія влучає в бронетехніку росіян на південний захід від населеного пункту Старомайорське, Донецька область.Location: SW of Staromaiorske, Donetsk Oblast, Ukraine47.741757, 36.775359Source:https://t.me/aeronavtyua/555"
12.07.2023 12:34:35 UTC+03:00,"Рота ударних дронів «Рарог» 24-ї ОМБр атакує російський Т-90 в населеному пункті Берхівка, Донецька область.Location: Berkhivka, Donetsk Oblast, Ukraine48.642590, 37.960128Source:https://t.me/Rarog_24OMBr/58"
12.07.2023 18:09:01 UTC+03:00,"Аеророзвідка 36-ї бригади виявила російський Бук-М2, який був знищений на південний схід від населеного пункту Червоноселівка, Запорізька область.Location: SE of Chervonoselivka, Zaporizhzhia Oblast, Ukraine47.483269, 36.731206Source:https://t.me/ua_marines_36brigade/572"
12.07.2023 19:03:54 UTC+03:00,"Міномети 60-ї бригади знищують російську вантажівку на південний схід від населеного пункту Журавлівка, Бєлгородська область.Location: SE of Zhuravlyovka, Belgorod Oblast, Russia50.297712, 36.354864Source:https://t.me/osirskiy/189"
13.07.2023 17:22:12 UTC+03:00,"Спецпідрозділ ГУР МОУ ""Крила"" ФПВ дронами знищують камери спостереження в Бєлгородській області.Location: Novaya Tavolzhanka, Belgorod Oblast, Russia1:24 -50.358434, 36.824235Location: Tishanka, Belgorod Oblast, Russia1:39 -50.385753, 37.523844Source:https://t.me/mysiagin/24989"
13.07.2023 18:13:57 UTC+03:00,"Українська артилерія знищує замаскований міномет ""ПМ 120"" в населеному пункті Берестове, Донецька область.Location: Berestove, Donetsk Oblast, Ukraine48.756129, 38.238775Source:https://t.me/ukr_sisu/32"
13.07.2023 23:08:50 UTC+03:00,"Підрозділ аеророзвідки ""Flying Skull"" фільмує знищення РСЗО ""Ураган"" та ""Град"" боєприпасом від Хаймарса (?) на захід від населених пунктів Покровське та Чистопілля, Запорізька область.Location: W of Pokrovske, Zaporizhzhia Oblast, Ukraine0:01-1:00 -47.314944, 35.603476W of Chystopillia, Zaporizhzhia Oblast, Ukraine1:00-2:06 -47.374441, 35.642726Source:https://t.me/flyingskull/19"
13.07.2023 23:48:16 UTC+03:00,"Українська артилерія пошкоджує російський 2С5 ""Гіацинт-С"" на північний схід від населеного пункту Малий Кременчик, Донецька область.Location: NE of Malyi Kermenchyk, Donetsk Oblast, Ukraine47.636526, 37.006456Source:https://t.me/otarnavskiy/161"
14.07.2023 11:03:13 UTC+03:00,"БМ-21 ""Град"" 95-ї окремої десантно-штурмової бригади відпрацьовує по позиціям росіян в Кремінній, Луганська область.Location: Kreminna, Luhansk Oblast, Ukraine49.025308, 38.181017Source:https://t.me/ua_dshv/1411"
14.07.2023 15:47:06 UTC+03:00,"ФПВ дрони окремої президентської бригади роблять скиди на бронетехніку росіян в Урожайному та поблизу Урожайного, Донецька область.Location: Urozhaine, Donetsk Oblast, Ukraine0:29-0:32 -47.751207, 36.821789Location: NE of Urozhaine, Donetsk Oblast, Ukraine0:26-0:29 -47.767137, 36.854744Location: NE of Urozhaine, Donetsk Oblast, Ukraine0:37-0:41 -47.768033, 36.843855Source:https://www.facebook.com/Prezydentska.Bryhada/videos/593098196342623/"
14.07.2023 17:54:31 UTC+03:00,"Українська артилерія високоточним снарядом знищує російський Тор-М2 на південний захід від населеного пункту Веселе, Запорізька область.Location: SW of Vesele, Zaporizhzhia Oblast, Ukraine47.173223, 35.725607Source:https://t.me/mysiagin/25025"
15.07.2023 12:31:38 UTC+03:00,"РУБпАК «Ахіллес» ФПВ дроном знищують вантажівку з боєкомплектом на північний захід від населеного пункту Підкуйчанськ, Луганська область.Location: NW of Pidkuichansk, Luhansk Oblast, Ukraine49.483123,37.978096Source:https://t.me/fedorenkoys/60"
15.07.2023 20:26:10 UTC+03:00,"БМ-21 ""Град"" 22-ї окремої механізованої бригади накриває російські позиції в Кліщіївці, Донецька область.Location: Klishchiivka, Donetsk Oblast, Ukraine48.533402, 37.959848Source:t.me/osirskiy/200"
15.07.2023 21:45:28 UTC+03:00,"Російський підрозділ ""Чёрные гусары"" демонструє свої позиції та ""неймовірний"" апгрейд РПГ-7 в населеному пункті Райгородка, Луганська область.Location: Raihorodka, Luhansk Oblast, Ukraine49.361291, 37.973765Source:https://t.me/blackhussars/228"
16.07.2023 12:28:15 UTC+03:00,"109-й батальйон 10-ї окремої гірсько-штурмової бригади скидами пошкоджує російську БМД в населеному пункті Яковлівка, Донецька область.Location: Yakovlivka, Donetsk Oblast, Ukraine48.720104, 38.139618Source:https://t.me/OGSHB_109/329"
16.07.2023 13:02:50 UTC+03:00,"Руснявий скид термобаричного снаряда на українські позиції в населеному пункті Копанки, Харківська область.Location: Kopanky, Kharkiv Oblast, Ukraine49.369841, 37.851407Source:https://t.me/btr80/8843"
16.07.2023 15:23:15 UTC+03:00,"74-й орб коригує Хаймарс, який знищує дві гаубиці 2А65 ""Мста-Б"" на північний схід від населеного пункту Ялинське, Донецька область.Location: NE of Yalynske, Donetsk Oblast, Ukraine0:01-0:56 -47.664926, 36.9558000:57-1:20 -47.665635, 36.963874Source:https://t.me/horticka_varta/821"
16.07.2023 20:13:55 UTC+03:00,"Міноборони рф демонструє відео роботи САУ ""Мста-С"" на північний схід від населеного пункту Володимирівка, Запорізька область.Location: NE of Volodymyrivka, Vasylivka Raion, Zaporizhzhia Oblast47.399790, 35.496543Source:https://t.me/mod_russia/28389"
17.07.2023 11:21:20 UTC+03:00,"Російський танк підірвався на міні та був добитий двома ФПВ дронами на захід від населеного пункту Кривошиївка, Луганська область.Location: W of Kryvoshyivka, Luhansk Oblast, Ukraine49.498791, 37.962433Source:https://t.me/ukr_sisu/39https://t.me/ukr_sisu/36https://t.me/ukr_sisu/40"
17.07.2023 15:54:53 UTC+03:00,"Повідомляється, що російський Су-25 впав в Ейський лиман поблизу Ейська, Краснодарський край. Пілот, нажаль, катапультувався.Location: Yeysk, Krasnodar Krai, RussiaPov:46.737842, 38.290080Source:https://t.me/yigal_levin/51221"
18.07.2023 10:15:34 UTC+03:00,"Аеророзвідка 72-ї бригади виявила російський 2С7 ""Піон"", який був знищений Хаймарсом на схід від населеного пункту Степне, Донецька область.Location: E of Stepne, Donetsk Oblast, Ukraine47.609410, 37.161977Source:https://t.me/in_factum/15970"
18.07.2023 19:41:27 UTC+03:00,"2-й механізований батальйон 67-ї бригади обстрілює російські позиції на північний захід від населеного пункту Діброва, Луганська область.Location: NW of Dibrova, Luhansk Oblast, Ukraine0:27-0:29 -49.012841, 38.057153Source:https://t.me/osirskiy/211"
19.07.2023 00:28:09 UTC+03:00,"Підрозділ ""Птахи Мадяра"" ФПВ дроном знищують російський 2С5 ""Гіацинт"" на північний захід від населеного пункту Степне, Донецька область.Location: NW of Stepne, Donetsk Oblast, Ukraine3:22-4:35 -47.631542, 37.101720Source:https://t.me/robert_magyar/570"
19.07.2023 13:35:19 UTC+03:00,"101 бригада ТрО обстрілює російські позиції на КПП ""Крупец"", що на захід від населеного пункту Городище, Курська область.Location: W of Horodyshche, Kursk Oblast, Ukraine51.648476, 34.134407Source:https://t.me/AFUStratCom/19045"
19.07.2023 17:20:16 UTC+03:00,"Підрозділ рф ""Сибирское объединение"" обстрілює українські позиції з РПГ-7 в 3км на схід від Торського, Донецька область.Location: E of Torske, Donetsk Oblast, Ukraine49.052100, 37.987050Source:https://t.me/btr80/8941"
19.07.2023 21:23:27 UTC+03:00,"""Група «Асгард» підрозділу «Очі» 120-го ОРБ у взаємодії з 3-ю ОШБр та начальником РЕБ та КБ 28-ї ОМБр знищує російський танк Т-90 на Бахмутському напрямку за допомогою FPV дрона.""Location: Klishchiivka, Donetsk Oblast, Ukraine48.513321, 37.957620Source:https://t.me/AFUStratCom/19052"
20.07.2023 17:37:01 UTC+03:00,"79-та окрема десантно-штурмова бригада застосовує касетні боєприпаси проти російської групи на захід від Петровського району Донецька.Location: W of Petrovskyi District, Donetsk, Ukraine47.968529, 37.528417Source:https://t.me/budem_bambit/2846"
20.07.2023 20:07:41 UTC+03:00,"Телеканал ""Звезда"" демонструє роботу російського танка Т-90М ""Прорив"" 106-ї дивізії рф в населеному пункті Яковлівка, Донецька область.Location:Yakovlivka, Donetsk Oblast, Ukraine0:01 -48.707505, 38.132472NW of Vesele, Donetsk Oblast, Ukraine0:10 -48.768645, 38.125714Source:https://tvzvezda.ru/news/2023719423-nqV6A.html"
20.07.2023 23:11:56 UTC+03:00,"Ураження російського 2С5 ""Гіацинт-С"" на південний схід від населеного пункту Володине, Донецька область.Location: SE of Volodyne, Donetsk Oblast, Ukraine47.684391, 36.794814Source:https://t.me/aeronavtyua/649"
21.07.2023 18:36:29 UTC+03:00,"Міноборони рф демонструє відео роботи двох САУ ""Мста-С"" на південь від населеного пункту Кремінна, Луганська область.Location: S of Kreminna, Luhansk Oblast, Ukraine49.021762, 38.199522Source:https://t.me/mod_russia/28446"
21.07.2023 20:07:29 UTC+03:00,"Аеророзвідка 3ОШБр коригує авіаційний удар з використанням JDAM по росіянам в населеному пункті Кодема, Донецька область.Location: Kodema, Donetsk Oblast, Ukraine48.475046, 38.076260Source:t.me/KRYLA3ab/6"
21.07.2023 23:30:14 UTC+03:00,"Міноборони рф демонструє відео роботи двох САУ ""Мста-С"" на південь від населеного пункту Кремінна, Луганська область.p.s. кадри з травня, але згадав я про них сьогодні.Location: S of Kreminna, Luhansk Oblast, Ukraine49.024104, 38.202632Source:https://t.me/mod_russia/26695"
22.07.2023 14:06:20 UTC+03:00,"100-та бригада ТрО знищує російську БМП-1 на південь від населеного пункту Діброва, Луганська область.Location: S of Dibrova, Luhansk Oblast, Ukraine48.977664, 38.111485Source:https://t.me/Volyn100obrTrO/749"
23.07.2023 15:11:52 UTC+03:00,"54-та окрема механізована бригада знищує польовий склад з боєприпасами на північ від населеного пункту Тополівка, Луганська область.Location: N of Topolivka, Luhansk Oblast, Ukraine48.898383, 38.314649Source:t.me/osirskiy/223"
23.07.2023 19:17:49 UTC+03:00,"Himars знищує російський 2С7 ""Піон"" на північний схід від населеного пункту Новогорівка, Запорізька область.Location: NE of Novohorivka, Zaporizhzhia Oblast, Ukraine47.373823, 35.610646Source:https://t.me/riamelitopol/96870"
24.07.2023 13:59:30 UTC+03:00,"79-та окрема десантно-штурмова бригада скидами термобаричної гранати та М-67 знищує росіян на південь від Красногорівки, Донецька область.Locaiton: S of Krasnohorivka, Donetsk Oblast, Ukraine47.977602, 37.517662Source:https://t.me/marvel_studi_o/129"
24.07.2023 15:11:03 UTC+03:00,"Безпілотник EOS коригує вогонь HIMARS по російському ЗРК Бук на південь від населеного пункту Заповітне, Запорізька область.Location: S of Zapovitne, Zaporizhzhia Oblast, Ukraine47.325462, 34.614258Source:https://t.me/serhiyprytula/2473"
24.07.2023 17:45:56 UTC+03:00,"Станом на зараз успіх противника на напрямку Борової за ці кілька днів є дуже загрозливим. Є високий ризик того, що противник зараз перехопить стратегічну ініціативу.Що відбувається?Противник атакував в смузі оборони ОТУ Лиман на різних напрямках весь червень та липень, змушуючи наші оперативно-тактичні резерви кататися і тушити пожежі в усій смузі оборони. Розтягнувши оборону атаками в районі Куп'янська та Серебрянського лісництва, противник здійснив форсування річки в районі Райгородки (на дуже спокійній до того ділянці). Наразі контролює значну територію за річкою.Контрнаступ все ще іде по плану"
24.07.2023 20:13:32 UTC+03:00,"30-та окрема механізована бригада ФПВ дроном знищує російську РЛС ""Аістьонок"" в населеному пункті Соледар, Донецька обаласть.Location: Soledar, Donetsk Oblast, Ukraine48.705452, 38.065754Source:https://t.me/osirskiy/228"
24.07.2023 23:39:57 UTC+03:00,"Якою є задачі та мета противника на цьому театрі дій?Противник вклинюється в нашу оборону з найближчим завданням дійти до нашої умовної лінії оборони Копанка-Новосергіївка, там є ряд панівних висот. В разі успіху противник, нарощуючи зусилля ,буде намагатись рухатись в бік Борової.Вихід та взяття Борової є достатньою умовою для поступового залишення силами оборони всього лівобережжя Осколу.Це є найбільш апокаліптичний сценарій. Скоріш за все противник так чи інакше буде зупинений, бо угруповання, яке він зосередив, є недостатнім для виконання тих завдань, які він собі ставить, а у нас є чим його перекривати.Головне тут все ж таки ініціатива і час. На відміну від Бахмуту — час тут грає не на нас"
25.07.2023 11:07:50 UTC+03:00,"45-та окрема артилерійська бригада знищує російську ЗРК ""Стрела-10"" на схід від населеного пункту Красна Гора, Донецька область.Location: Krasna Hora, Donetsk Oblast, Ukraine48.662278, 38.035890Source:https://www.youtube.com/watch?v=lhHFDox1yJ0"
25.07.2023 14:58:33 UTC+03:00,"Міноборони рф демонструє кадри роботи Т-90М ""Прорив"" в населеному пункті Діброва, Луганська область.Location: Dibrova, Luhansk Oblast, Ukraine49.007717, 38.112036Source:https://t.me/mod_russia/28602"
25.07.2023 17:46:05 UTC+03:00,"БПЛА ""Ланцет"" 14 СпН рф влучає в український танк в населеному пункті Веселий Гай, Донецька область.Location: Veselyi Hai, Donetsk Oblast, Ukraine47.900011, 37.261399Source:https://t.me/voin_dv/3923"
25.07.2023 19:09:52 UTC+03:00,"Підрозділ ""Flying Skull"" коригує знищення російської гаубиці 2А36 ""Гіацинт-Б"" на південь від населеного пункту Мирне, Запорізька область.Location: S of Myrne, Zaporizhzhia Oblast, Ukraine47.341434, 35.712868Source:https://t.me/flyingskull/24"
26.07.2023 13:11:46 UTC+03:00,"72-га бригада ФПВ дроном знищує російський танк разом з екіпажем на північний схід від населеного пункту Кирилівка, Донецька область.Location: NE of Kyrylivka, Donetsk Oblast, Ukraine47.693296, 37.328278Source:https://t.me/ombr72/9350"
26.07.2023 14:31:13 UTC+03:00,"Підрозділ ""Сибирское объединение"" обстрілює українські позиції на схід від населеного пункту Торське, Донецька область.Location: E of Torske, Donetsk Oblast, Ukraine49.018131, 37.988353Source:https://t.me/btr80/9141"
26.07.2023 16:15:13 UTC+03:00,"Бійці 3-ого окремого полку СпП беруть в полон росіян в населеному пункті Старомайорське, Донецька область.Location: Staromaiorske, Donetsk Oblast, Ukraine0:34 -47.755773, 36.800659Source:https://t.me/AFUStratCom/19150"
26.07.2023 18:15:10 UTC+03:00,"Загалом ситуація наступна: противник скористався складною ситуацією в смузі оборони наших військ та накопичив на правому березі до 5 бтгр. Станом на зараз продовжує накопичуватись та формувати передній край оборони.Відступ бригади, відповідальної за цей напрямок, призвів до того, що в певний момент між другою лінією оборони і противником утворилась величезна сіра зона, де ніхто не знав, що відбувається.Відповідно, що ми, що противник дуже обережно прощупували передній край.Паралельно, користуючись моментом, противник продовжував накопичення на нашому березі річки.Сумарно існує порядка 11 переходів через річку. В подальшому, враховуючи кількість накопичених підрозділів, це буде дуже гаряча ділянка.Єдине що я не розумію: я бачу цілі села, цілі посадки, зелені поля. Що призвело до обвалу фронту, для мене залишається загадкою."
27.07.2023 12:43:40 UTC+03:00,"Російський гелікоптер Мі-8 зачепився за лінії електропередач і розбився в населеному пункті Тюнгур, Республіка Алтай.Location: Tyungur, Altai Republic, Russia50.156791, 86.303018Source:https://t.me/breakingmash/46346"
27.07.2023 15:40:37 UTC+03:00,"Заявлено про відбиття української атаки на південний схід від населеного пункту Новоєгорівка, Луганська область. Дата публікації 27.07.2023Location: SE of Novoiehorivka, Luhansk Oblast, Ukraine49.312437, 37.966972Source:https://t.me/btr80/9172"
27.07.2023 20:23:10 UTC+03:00,"Обстріл українських позицій в лісі на південний захід від Кліщіївки, Донецька область.Location: SW of Klishchiivka, Donetsk Oblast, Ukraine48.524364, 37.945019Source:t.me/VDV_vistrel/271"
28.07.2023 11:06:47 UTC+03:00,"Заявлено про обстріл українських позицій з БМ-21 ""Град"" на північний захід від населеного пункту Карамзинівка, Луганська область. Дата публікації 28.07.2023.Location: NW of Karmazinivka, Luhansk Oblast, Ukraine49.315467, 37.993644Source:https://t.me/btr80/9201"
28.07.2023 13:00:09 UTC+03:00,"Українські військові демонструють звільнене Старомайорське, Донецька область.Location: Staromaiorske, Donetsk Oblast, Ukraine47.753355, 36.793545Source:https://t.me/mysiagin/25300"
